service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1111100-1,1,1,1,1,1,0,0,20200702,20200715
1111111-1,1,1,1,1,1,1,1,20200702,20200715
1111101-1,1,1,1,1,1,0,1,20200702,20200715
1111110-1,1,1,1,1,1,1,0,20200702,20200715
1111100-2,1,1,1,1,1,0,0,20200702,20200715
0000010-1,0,0,0,0,0,1,0,20200704,20200715
0000011-1,0,0,0,0,0,1,1,20200704,20200715
0000011-2,0,0,0,0,0,1,1,20200704,20200715
0000001-1,0,0,0,0,0,0,1,20200705,20200715
0000001-2,0,0,0,0,0,0,1,20200705,20200715
1111100-3,1,1,1,1,1,0,0,20200707,20200710
1111111-2,1,1,1,1,1,1,1,20200702,20200715
1111100-4,1,1,1,1,1,0,0,20200702,20200703
0000011-3,0,0,0,0,0,1,1,20200702,20200715
1111111-3,1,1,1,1,1,1,1,20200702,20200715
0000010-2,0,0,0,0,0,1,0,20200702,20200715
0000011-4,0,0,0,0,0,1,1,20200702,20200715
1111111-4,1,1,1,1,1,1,1,20200702,20200715
1111100-5,1,1,1,1,1,0,0,20200702,20200713
0000011-5,0,0,0,0,0,1,1,20200702,20200715
0000001-3,0,0,0,0,0,0,1,20200702,20200715
0000001-4,0,0,0,0,0,0,1,20200702,20200715
1111101-2,1,1,1,1,1,0,1,20200702,20200715
1111111-5,1,1,1,1,1,1,1,20200702,20200715
1111111-6,1,1,1,1,1,1,1,20200702,20200715
1111100-6,1,1,1,1,1,0,0,20200702,20200715
1111100-7,1,1,1,1,1,0,0,20200702,20200702
0000011-6,0,0,0,0,0,1,1,20200702,20200715
0000001-5,0,0,0,0,0,0,1,20200702,20200715
1111111-7,1,1,1,1,1,1,1,20200702,20200713
1111111-8,1,1,1,1,1,1,1,20200703,20200715
1111111-9,1,1,1,1,1,1,1,20200703,20200715
1111111-10,1,1,1,1,1,1,1,20200702,20200715
0000011-7,0,0,0,0,0,1,1,20200702,20200715
0000010-3,0,0,0,0,0,1,0,20200704,20200704
1111111-11,1,1,1,1,1,1,1,20200704,20200715
0000011-8,0,0,0,0,0,1,1,20200702,20200715
0000010-4,0,0,0,0,0,1,0,20200702,20200715
0000010-5,0,0,0,0,0,1,0,20200702,20200715
0000011-9,0,0,0,0,0,1,1,20200704,20200705
0000011-10,0,0,0,0,0,1,1,20200704,20200715
0000011-11,0,0,0,0,0,1,1,20200704,20200715
0000001-6,0,0,0,0,0,0,1,20200704,20200715
0000010-6,0,0,0,0,0,1,0,20200704,20200715
0000010-7,0,0,0,0,0,1,0,20200704,20200715
0000011-12,0,0,0,0,0,1,1,20200704,20200712
0000001-7,0,0,0,0,0,0,1,20200702,20200715
0000011-13,0,0,0,0,0,1,1,20200702,20200712
0000010-8,0,0,0,0,0,1,0,20200702,20200715
0000001-8,0,0,0,0,0,0,1,20200702,20200715
0000001-9,0,0,0,0,0,0,1,20200705,20200705
0000011-14,0,0,0,0,0,1,1,20200705,20200715
0000001-10,0,0,0,0,0,0,1,20200702,20200715
0000001-11,0,0,0,0,0,0,1,20200705,20200715
0000001-12,0,0,0,0,0,0,1,20200705,20200712
0000010-9,0,0,0,0,0,1,0,20200705,20200715
0000010-10,0,0,0,0,0,1,0,20200705,20200715
0000011-15,0,0,0,0,0,1,1,20200705,20200715
0000001-13,0,0,0,0,0,0,1,20200706,20200706
0000011-16,0,0,0,0,0,1,1,20200706,20200715
0000001-14,0,0,0,0,0,0,1,20200706,20200715
1111100-8,1,1,1,1,1,0,0,20200707,20200715
1111100-9,1,1,1,1,1,0,0,20200709,20200709
0000010-11,0,0,0,0,0,1,0,20200711,20200715
1111100-10,1,1,1,1,1,0,0,20200714,20200715
1111110-2,1,1,1,1,1,1,0,20200702,20200715
1111100-11,1,1,1,1,1,0,0,20200702,20200715
1111111-12,1,1,1,1,1,1,1,20200702,20200715
1111111-13,1,1,1,1,1,1,1,20200702,20200715
1111100-12,1,1,1,1,1,0,0,20200702,20200708
1111111-14,1,1,1,1,1,1,1,20200702,20200708
1111001-1,1,1,1,1,0,0,1,20200702,20200715
0000110-1,0,0,0,0,1,1,0,20200702,20200715
0000110-2,0,0,0,0,1,1,0,20200703,20200715
0000011-17,0,0,0,0,0,1,1,20200702,20200706
1111111-15,1,1,1,1,1,1,1,20200704,20200712
0000010-12,0,0,0,0,0,1,0,20200704,20200711
0000011-18,0,0,0,0,0,1,1,20200706,20200706
1111111-16,1,1,1,1,1,1,1,20200706,20200709
1111100-13,1,1,1,1,1,0,0,20200707,20200709
1111100-14,1,1,1,1,1,0,0,20200709,20200715
1111111-17,1,1,1,1,1,1,1,20200709,20200715
0000011-19,0,0,0,0,0,1,1,20200711,20200715
1111100-15,1,1,1,1,1,0,0,20200702,20200715
1111111-18,1,1,1,1,1,1,1,20200702,20200715
1111100-16,1,1,1,1,1,0,0,20200702,20200710
0000011-20,0,0,0,0,0,1,1,20200702,20200715
1111000-1,1,1,1,1,0,0,0,20200702,20200715
1111011-1,1,1,1,1,0,1,1,20200702,20200715
1111000-2,1,1,1,1,0,0,0,20200702,20200715
1111100-17,1,1,1,1,1,0,0,20200702,20200715
1111010-1,1,1,1,1,0,1,0,20200702,20200715
1111100-18,1,1,1,1,1,0,0,20200702,20200715
1111111-19,1,1,1,1,1,1,1,20200702,20200715
0000100-1,0,0,0,0,1,0,0,20200703,20200715
0000100-2,0,0,0,0,1,0,0,20200702,20200715
1111100-19,1,1,1,1,1,0,0,20200703,20200715
0000011-21,0,0,0,0,0,1,1,20200702,20200715
0000011-22,0,0,0,0,0,1,1,20200704,20200706
0000011-23,0,0,0,0,0,1,1,20200702,20200705
0000011-24,0,0,0,0,0,1,1,20200702,20200715
0000011-25,0,0,0,0,0,1,1,20200702,20200715
1111100-20,1,1,1,1,1,0,0,20200702,20200715
1111111-20,1,1,1,1,1,1,1,20200702,20200715
1111100-21,1,1,1,1,1,0,0,20200702,20200715
1111100-22,1,1,1,1,1,0,0,20200703,20200715
1111100-23,1,1,1,1,1,0,0,20200702,20200715
0000011-26,0,0,0,0,0,1,1,20200702,20200715
1111100-24,1,1,1,1,1,0,0,20200713,20200715
1111100-25,1,1,1,1,1,0,0,20200702,20200715
1111111_TR1,1,1,1,1,1,1,1,20191215,20201212
1111001_TR1,1,1,1,1,0,0,1,20200621,20201210
1111111_TR2,1,1,1,1,1,1,1,20191215,20201212
1111100_TR1,1,1,1,1,1,0,0,20200622,20201211
1111101_TR1,1,1,1,1,1,0,1,20191215,20201211
1111111_TR3,1,1,1,1,1,1,1,20191215,20201212
1111111_TR4,1,1,1,1,1,1,1,20191215,20201212
1111111_TR5,1,1,1,1,1,1,1,20191215,20201212
1111100_TR2,1,1,1,1,1,0,0,20191216,20201211
1111111_TR6,1,1,1,1,1,1,1,20191215,20201212
1111100_TR3,1,1,1,1,1,0,0,20191216,20201211
1111111_TR7,1,1,1,1,1,1,1,20200614,20201212
0000001_TR1,0,0,0,0,0,0,1,20200614,20201206
1111110_TR1,1,1,1,1,1,1,0,20200615,20201212
1111100_TR4,1,1,1,1,1,0,0,20200615,20201211
0000010_TR1,0,0,0,0,0,1,0,20200620,20201212
0000000_TR1,0,0,0,0,0,0,0,20201028,20201117
0000001_TR2,0,0,0,0,0,0,1,20200614,20201206
0000000_TR2,0,0,0,0,0,0,0,20200705,20200927
0000011_TR1,0,0,0,0,0,1,1,20200614,20201212
1111101_TR2,1,1,1,1,1,0,1,20200614,20201211
0000010_TR2,0,0,0,0,0,1,0,20200620,20201212
1111101_TR3,1,1,1,1,1,0,1,20200614,20201211
0000011_TR2,0,0,0,0,0,1,1,20191215,20201212
0000011_TR3,0,0,0,0,0,1,1,20191215,20201212
1111110_TR2,1,1,1,1,1,1,0,20191216,20201212
0000001_TR3,0,0,0,0,0,0,1,20191215,20201206
1111111_TR8,1,1,1,1,1,1,1,20191215,20201212
1111111_TR9,1,1,1,1,1,1,1,20191215,20201212
