service_id,date,exception_type
1111101-1,20200620,1
0000011-2,20200620,2
0000001-2,20200620,1
1111111-2,20200618,2
1111111-3,20200620,2
1111101-3,20200618,2
1111101-3,20200620,1
1111101-4,20200616,2
1111101-4,20200618,2
1111101-4,20200620,1
1111111-4,20200616,2
1111111-4,20200618,2
1111111-5,20200616,2
0000001-3,20200616,1
0000001-3,20200620,1
1111101-5,20200616,2
1111101-5,20200620,1
1111111-6,20200615,2
1111111-6,20200617,2
1111111-6,20200618,2
1111111-6,20200619,2
1111111-6,20200622,2
1111111-6,20200623,2
1111111-6,20200624,2
1111111-6,20200625,2
1111111-6,20200626,2
0000001-4,20200615,1
0000001-4,20200616,1
0000001-4,20200617,1
0000001-4,20200618,1
0000001-4,20200619,1
0000001-4,20200620,1
0000001-4,20200622,1
0000001-4,20200623,1
0000001-4,20200624,1
0000001-5,20200615,1
0000001-5,20200616,1
0000001-5,20200617,1
0000001-5,20200618,1
0000001-5,20200619,1
0000001-5,20200620,1
0000001-5,20200622,1
0000001-5,20200623,1
0000001-5,20200624,1
0000001-5,20200625,1
0000001-6,20200618,1
1111111-7,20200616,2
1111111-7,20200625,2
1111111-8,20200625,2
1111101-6,20200620,1
1111101-6,20200625,2
0000001-7,20200615,1
0000001-7,20200616,1
0000001-7,20200617,1
0000001-7,20200619,1
0000001-7,20200620,1
0000001-7,20200622,1
0000001-7,20200623,1
0000001-7,20200624,1
1111101-7,20200616,2
1111101-7,20200620,1
1111101-7,20200625,2
0000001-8,20200615,1
0000001-8,20200617,1
0000001-8,20200618,1
0000001-8,20200619,1
0000001-8,20200620,1
0000001-8,20200622,1
0000001-8,20200623,1
0000001-8,20200624,1
0000001-8,20200625,1
1111100-2,20200618,2
1111100-3,20200620,1
1111100-4,20200618,2
1111100-4,20200620,1
1111110-3,20200620,2
1111100-6,20200622,2
1111100-7,20200616,2
1111100-8,20200616,2
1111100-10,20200625,2
1111100-11,20200616,2
1111100-11,20200625,2
1111100-12,20200616,2
1111100-12,20200620,1
1111100-13,20200616,2
1111100-13,20200618,2
1111100-14,20200616,2
1111100-14,20200618,2
1111100-14,20200620,1
1111110-4,20200616,2
1111110-4,20200618,2
1111110-4,20200620,2
1111110-5,20200617,2
1111110-5,20200618,2
1111110-5,20200619,2
1111110-5,20200620,2
1111110-5,20200622,2
1111110-5,20200623,2
1111110-5,20200624,2
1111110-5,20200625,2
1111110-5,20200626,2
1111100-21,20200614,1
1111100-21,20200620,1
1111100-21,20200621,1
0000001-10,20200615,1
0000001-10,20200616,1
0000001-10,20200617,1
0000001-10,20200618,1
0000001-10,20200619,1
0000001-10,20200620,1
0000001-10,20200622,1
1111111-9,20200622,2
1111111-9,20200623,2
1111111-9,20200624,2
1111111-9,20200625,2
1111111-9,20200626,2
0000001-11,20200620,1
0000001-11,20200627,1
1111101-8,20200620,1
1111101-8,20200627,1
1111111-10,20200627,2
1111101-9,20200620,1
1111110-8,20200620,2
1111100-24,20200622,2
1111100-24,20200623,2
1111100-24,20200624,2
1111100-24,20200625,2
1111100-24,20200626,2
0000001-12,20200620,1
1111100-26,20200615,2
1111100-26,20200616,2
1111100-26,20200617,2
1111100-26,20200618,2
1111100-26,20200619,2
0000010-6,20200620,2
1111001-2,20200619,1
1111001-2,20200620,1
1111001-2,20200626,1
1111001-2,20200627,1
1111100-28,20200614,1
0000011-8,20200627,2
0000001-15,20200621,2
0000011-9,20200621,2
1111000-1,20200619,1
1111000-1,20200626,1
1111100-29,20200623,2
1111100-29,20200624,2
1111100-29,20200625,2
1111100-29,20200626,2
1111100-30,20200623,2
1111100-30,20200624,2
1111100-30,20200625,2
1111100-30,20200626,2
1111111-12,20200614,2
1111111-12,20200623,2
1111111-12,20200624,2
1111111-12,20200625,2
1111111-12,20200626,2
1111111-12,20200627,2
1111111-13,20200614,2
1111111-14,20200614,2
1111111-14,20200623,2
1111111-14,20200624,2
1111111-14,20200625,2
1111111-14,20200626,2
0000011-10,20200627,2
0000010-7,20200621,1
0000011-11,20200620,2
0000011-11,20200621,2
1111111_TR1,20200621,2
1111111_TR1,20200622,2
1111111_TR1,20200623,2
1111111_TR1,20200624,2
1111111_TR1,20200625,2
1111111_TR1,20200626,2
1111111_TR1,20200627,2
1111111_TR1,20200628,2
1111111_TR1,20200629,2
1111111_TR1,20200630,2
1111111_TR1,20200701,2
1111111_TR1,20200702,2
1111111_TR1,20200703,2
1111111_TR1,20200704,2
1111111_TR1,20200705,2
1111111_TR1,20200706,2
1111111_TR1,20200707,2
1111111_TR1,20200708,2
1111111_TR1,20200709,2
1111111_TR1,20200710,2
1111111_TR1,20200711,2
1111111_TR1,20200712,2
1111111_TR1,20200713,2
1111111_TR1,20200714,2
1111111_TR1,20200715,2
1111111_TR1,20200716,2
1111111_TR1,20200717,2
1111111_TR1,20200718,2
1111111_TR1,20200719,2
1111111_TR1,20200720,2
1111111_TR1,20200721,2
1111111_TR1,20200722,2
1111111_TR1,20200723,2
1111111_TR1,20200724,2
1111111_TR1,20200725,2
1111111_TR1,20200726,2
1111111_TR1,20200727,2
1111111_TR1,20200728,2
1111111_TR1,20200729,2
1111111_TR1,20200730,2
1111111_TR1,20200731,2
1111111_TR1,20200801,2
1111111_TR1,20200802,2
1111111_TR1,20200803,2
1111111_TR1,20200804,2
1111111_TR1,20200805,2
1111111_TR1,20200806,2
1111111_TR1,20200807,2
1111111_TR1,20200808,2
1111111_TR1,20200809,2
1111111_TR1,20200810,2
1111111_TR1,20200811,2
1111111_TR1,20200812,2
1111111_TR1,20200813,2
1111111_TR1,20200814,2
1111111_TR1,20200815,2
1111111_TR1,20200816,2
1111111_TR1,20200817,2
1111111_TR1,20200818,2
1111111_TR1,20200819,2
1111111_TR1,20200820,2
1111111_TR1,20200821,2
1111111_TR1,20200822,2
1111111_TR1,20200823,2
1111111_TR1,20200824,2
1111111_TR1,20200825,2
1111111_TR1,20200826,2
1111111_TR1,20200827,2
1111111_TR1,20200828,2
1111111_TR1,20200829,2
1111111_TR1,20200830,2
1111111_TR1,20200831,2
1111111_TR1,20200901,2
1111111_TR1,20200902,2
1111111_TR1,20200903,2
1111111_TR1,20200904,2
1111111_TR1,20200905,2
1111111_TR1,20200906,2
1111111_TR1,20200907,2
1111111_TR1,20200908,2
1111111_TR1,20200909,2
1111111_TR1,20200910,2
1111111_TR1,20200911,2
1111111_TR1,20200912,2
1111111_TR1,20200913,2
1111111_TR1,20200914,2
1111111_TR1,20200915,2
1111111_TR1,20200916,2
1111111_TR1,20200917,2
1111111_TR1,20200918,2
1111111_TR1,20200919,2
1111111_TR1,20200920,2
1111111_TR1,20200921,2
1111111_TR1,20200922,2
1111111_TR1,20200923,2
1111111_TR1,20200924,2
1111111_TR1,20200925,2
1111111_TR1,20200926,2
1111111_TR1,20200927,2
1111111_TR1,20200928,2
1111111_TR1,20200929,2
1111111_TR1,20200930,2
1111111_TR1,20201001,2
1111111_TR1,20201002,2
1111111_TR1,20201003,2
1111111_TR1,20201004,2
1111111_TR1,20201005,2
1111111_TR1,20201006,2
1111111_TR1,20201007,2
1111111_TR1,20201008,2
1111111_TR1,20201009,2
1111111_TR1,20201010,2
1111111_TR1,20201011,2
1111111_TR1,20201012,2
1111111_TR1,20201013,2
1111111_TR1,20201014,2
1111111_TR1,20201015,2
1111111_TR1,20201016,2
1111111_TR1,20201017,2
