OBJECTID,pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,traversal_time,signposted_as,reversed_signposted_as,Shape_Length
1,U1040P1,U1040N4,U1040N5,1,1,,"Bus, Motol, Homolka, Strahov, Petřiny, U Waltrovky",,37.50794597017181
2,U1040P2,U1040N4,U1040N6,1,1,,"Křížová, Barrandov, Kovářka, Dívčí hrady",,50.84379235616552
3,U1040P3,U1040N4,U1040N7,1,1,,"Tram, Laurová, radlická, Palackého nám., Výtoň, Ulice Nádražní",,74.14762998441702
4,U1040P4,U1040N4,U1040N8,1,1,,"Za Ženskými domovy, Stroupežnického ulice",,80.6996672450956
5,U1040P5,U1040N4,U1040N9,1,1,,,,27.21882453768023
6,U1040P6,U1040S1E1,U1040N9,2,1,,,"Stroupežnického ulice, Ženské domovy",13.360357032731644
7,U1040P7,U1040S1E2,U1040N8,2,1,,,,13.590957716623693
8,U1040P8,U1040S1E3,U1040N7,2,1,,,,17.79282129410631
9,U1040P9,U1040S1E4,U1040N6,2,1,,,,18.046983554258876
10,U1040P10,U1040S1E5,U1040N5,2,1,,,,17.855822771710002
11,U1040P11,U1040N4,U1040N10,4,1,70,,"Bus, Motol, Homolka, Křížová, Barrandov, Strahov, Petřiny",75.7510789438031
12,U1040P12,U1040Z101P,U1040N10,1,1,,"Na Knížecí, terminál BUS",,71.09379555435025
13,U1040P13,U1040Z102P,U1040N10,1,1,,"Na Knížecí, terminál BUS",,70.65728316363824
14,U1040P14,U1040Z101P,U1040Z102P,1,1,,,,10.28246428631641
15,U1040P15,U1040N2,U1040Z101P,1,1,,,,48.54274981686311
16,U1040P16,U1040Z102P,U1040N2,1,1,,,,48.465594581566556
17,U1040P17,U1040N1,U1040N2,5,1,40,,,1.8596435996148084
18,U1040P18,U1040N1,U1040N3,1,1,35,,,14.852597050100977
19,U1040P19,U1040S1E7,U1040N3,5,1,60,,,1.3272899981904767
20,U1040P20,U1040S1E6,U1040N11,4,1,100,"Motol, Řepy, Radlice, Smíchov, Barrondov, Centrum, Dejvice",,75.489354620086
21,U1040P21,U1040N2,U1040N11,1,1,,"Anděl, ul. Plzeňská",,22.479974674398285
22,U1040P22,U1040N5,U1040S1E5,4,0,25,,,20.24009588733931
23,U1040P23,U1040N6,U1040S1E4,4,0,25,,,20.245518952930663
1,U157P1,U157Z101P,U157Z102P,1,1,,,,6.082762527089221e-5
2,U157P2,U157Z102P,U157N3,1,1,,"Výtah, Lift",,0.0006181423784117034
3,U157P3,U157Z101P,U157N3,1,1,,"Výtah, Lift",,0.0006212889827073918
4,U157P4,U157Z102P,U157N4,1,1,,"Evropská ulice, Horoměřická ulice, TRAM, BUS",,0.0006407027392200093
5,U157P5,U157Z101P,U157N4,1,1,,"Evropská ulice, Horoměřická ulice, TRAM, BUS",,0.0006363961030689218
6,U157P6,U157N1,U157N2,1,1,,,"Evropská, Arabská, Lift",0.0002745906043530635
8,U157P7,U157N4,U157N5,4,1,55,,,0.0009254188240492766
9,U157P8,U157N6,U157N9,1,1,,,,0.00020099751242965585
10,U157P9,U157N6,U157N8,1,1,,"Evropská ulice, Horoměřická ulice, TRAM, BUS",,0.0001649242250219094
11,U157P10,U157N6,U157N7,1,1,,"Evropská ulice, Liberijská ulice, Kladenská ulice",,0.00015132745952407657
12,U157P11,U157S1E9,U157N8,2,1,,,"TRAM Červený vrch, Vozovna Vokovice",0.00020248456728760375
13,U157P12,U157S1E8,U157N8,2,1,,,"Horoměřická, BUS Hanspaulka, Nebušice, Horoměřice",0.00019235384058911473
14,U157P13,U157S1E5,U157N7,2,1,,,Evropská,0.00021023796045327735
15,U157P14,U157S1E6,U157N7,3,1,,,"Liberijská, Kladenská, Africká",0.00037529235712293577
16,U157P15,U157S1E1,U157N1,2,1,,,,0.00010000000003174137
17,U157P16,U157S1E4,U157N2,1,1,,,,8.246211253852781e-5
18,U157P17,U157S1E11,U157N1,5,1,20,,,9.055385138500797e-5
19,U157P18,U157N2,U157S1E3,5,1,20,,"Evropská ulice, Lift",9.43398113354473e-5
20,U157P19,U157N2,U157N3,5,1,60,"Lift, Výtah","Lift,Výtah",6.000000001904482e-5
21,U157P20,U157N5,U157N9,1,1,,,,0.00017117242771234233
22,U157P21,U157S1E10,U157N9,2,1,,,"TRAM Dejvice, centrum",0.00016124515496074795
23,U157P22,U157S1E8,U157N8,5,1,,,"Horoměřická, BUS Hanspaulka, Nebušice, Horoměřice",0.00019235384058911473
1,U602P1,U602Z101P,U602Z102P,1,1,,,,0.00010198039024848611
2,U602P2,U602Z101P,U602N1,1,1,,"Motol, Vypich, Anděl",,0.0007600657866406698
3,U602P3,U602Z102P,U602N1,1,1,,"Motol, Vypich, Anděl",,0.0007481310045791091
4,U602P4,U602Z101P,U602N2,1,1,,,,0.0007679192665964251
5,U602P5,U602Z102P,U602N2,1,1,,,,0.0007800640999501394
6,U602P6,U602S1E2,U602N3,1,1,,,"Nemocnice Motol, Vypich, Bavorská",0.00013416407861630944
7,U602P7,U602S1E1,U602N3,1,1,,,"Velká - Malá Ohrada, Nemocnice Na Homolce",0.00017029386367326208
8,U602P8,U602S1E8,U602N4,1,1,,,ulice Petržílkova,0.00013038404810620144
9,U602P9,U602S1E10,U602N4,1,1,,,"ulice Seydlerova, ulice Fingerova",0.00011045361017605392
10,U602P10,U602N2,U602N4,2,1,,"ulice Seydlerova, ulice Petržílkova",,0.0003214031735912441
11,U602P11,U602N1,U602N3,2,1,,"Velká Ohrada, Malá Ohrada, Jinonice, Anděl",,0.0003125699921764056
12,U602P12,U602S1E6,U602N4,2,1,,,zájezdová doprava,0.00027202941020672495
14,U602P13,U602N2,U602N4,5,1,,"ulice Seydlerova, ulice Petržílkova",,0.0003542837609142451
1,U897P1,U897N26,U897N30,1,1,72,,,79.69236375932762
2,U897P2,U897N29,U897N30,1,1,46,,,50.57980581145799
3,U897P3,U897N7,U897N29,1,1,7,,,7.4045951143357716
