from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
U1072Z101P,U1072Z121P,2,240,,
U1072Z121P,U1072Z101P,2,240,,
U1072Z101P,U1072Z122P,2,240,,
U1072Z122P,U1072Z101P,2,240,,
U1072Z102P,U1072Z121P,2,240,,
U1072Z121P,U1072Z102P,2,240,,
U1072Z102P,U1072Z122P,2,240,,
U1072Z122P,U1072Z102P,2,240,,
U400Z101P,U400Z121P,2,180,,
U400Z121P,U400Z101P,2,180,,
U400Z101P,U400Z122P,2,180,,
U400Z122P,U400Z101P,2,180,,
U400Z102P,U400Z121P,2,180,,
U400Z121P,U400Z102P,2,180,,
U400Z102P,U400Z122P,2,180,,
U400Z122P,U400Z102P,2,180,,
U689Z101P,U689Z121P,2,240,,
U689Z121P,U689Z101P,2,240,,
U689Z101P,U689Z122P,2,240,,
U689Z122P,U689Z101P,2,240,,
U689Z102P,U689Z121P,2,240,,
U689Z121P,U689Z102P,2,240,,
U689Z102P,U689Z122P,2,240,,
U689Z122P,U689Z102P,2,240,,
U28Z1P,U28Z1P,1,,221_790_191215,163_1050_200307
U28Z2P,U28Z2P,1,,221_764_191215,163_1051_200307
U28Z1P,U28Z1P,1,,221_792_191215,163_1052_200307
U28Z2P,U28Z2P,1,,221_766_191215,163_1053_200307
U28Z1P,U28Z1P,1,,221_771_191215,163_1054_200307
U28Z2P,U28Z2P,1,,221_745_191215,163_1055_200307
U28Z1P,U28Z1P,1,,221_748_191215,163_1056_200307
U28Z2P,U28Z2P,1,,221_801_191215,163_1057_200307
U28Z1P,U28Z1P,1,,221_804_191215,163_1058_200307
U28Z2P,U28Z2P,1,,221_778_191215,163_1059_200307
U28Z1P,U28Z1P,1,,221_810_191215,163_1003_200302
U28Z2P,U28Z2P,1,,221_784_191215,163_1004_200302
U28Z1P,U28Z1P,1,,221_812_191215,163_1005_200302
U28Z1P,U28Z1P,1,,221_736_191215,163_1060_200307
U28Z2P,U28Z2P,1,,221_789_191215,163_1061_200307
U28Z1P,U28Z1P,1,,221_738_191215,163_1062_200307
U28Z2P,U28Z2P,1,,221_791_191215,163_1063_200307
U28Z1P,U28Z1P,1,,221_796_191215,163_1064_200307
U28Z2P,U28Z2P,1,,221_770_191215,163_1065_200307
U28Z1P,U28Z1P,1,,221_775_191215,163_1066_200307
U28Z2P,U28Z2P,1,,221_749_191215,163_1067_200307
U28Z1P,U28Z1P,1,,221_808_191215,163_1068_200307
U28Z2P,U28Z2P,1,,221_782_191215,163_917_200302
U28Z1P,U28Z1P,1,,221_785_191215,163_1024_200302
U28Z1P,U28Z1P,1,,221_788_191215,163_1070_200307
U28Z1P,U28Z1P,1,,221_765_191215,163_1072_200307
U28Z2P,U28Z2P,1,,221_739_191215,163_1073_200307
U28Z1P,U28Z1P,1,,221_794_191215,163_1074_200307
U28Z2P,U28Z2P,1,,221_768_191215,163_1075_200307
U28Z1P,U28Z1P,1,,221_744_191215,163_1076_200307
U28Z2P,U28Z2P,1,,221_797_191215,163_1077_200307
U28Z1P,U28Z1P,1,,221_773_191215,163_1078_200307
U28Z2P,U28Z2P,1,,221_747_191215,163_1079_200307
U28Z1P,U28Z1P,1,,221_750_191215,163_1080_200307
U28Z2P,U28Z2P,1,,221_803_191215,163_1081_200307
U28Z1P,U28Z1P,1,,221_806_191215,163_1082_200307
U28Z2P,U28Z2P,1,,221_780_191215,163_928_200302
U28Z1P,U28Z1P,1,,221_756_191215,163_1083_200307
U28Z2P,U28Z2P,1,,221_809_191215,163_930_200302
U28Z1P,U28Z1P,1,,221_758_191215,163_1042_200302
U28Z1P,U28Z1P,1,,221_528_190902,163_1044_200302
U28Z1P,U28Z1P,1,,221_761_191215,163_1084_200307
U28Z1P,U28Z1P,1,,221_763_191215,163_1086_200307
U28Z2P,U28Z2P,1,,221_737_191215,163_1087_200307
U28Z1P,U28Z1P,1,,221_742_191215,163_1088_200307
U28Z2P,U28Z2P,1,,221_795_191215,163_1089_200307
U28Z1P,U28Z1P,1,,221_800_191215,163_1090_200307
U28Z2P,U28Z2P,1,,221_774_191215,163_1091_200307
U28Z1P,U28Z1P,1,,221_752_191215,163_1092_200307
U28Z2P,U28Z2P,1,,221_805_191215,163_1093_200307
U28Z1P,U28Z1P,1,,221_781_191215,163_1094_200307
U28Z2P,U28Z2P,1,,221_755_191215,163_941_200302
U28Z1P,U28Z1P,1,,221_783_191215,163_1014_200302
U28Z2P,U28Z2P,1,,221_757_191215,163_1015_200302
U28Z1P,U28Z1P,1,,221_740_191215,163_1095_200307
U28Z2P,U28Z2P,1,,221_793_191215,163_1096_200307
U28Z1P,U28Z1P,1,,221_769_191215,163_1097_200307
U28Z2P,U28Z2P,1,,221_743_191215,163_1098_200307
U28Z1P,U28Z1P,1,,221_798_191215,163_1099_200307
U28Z2P,U28Z2P,1,,221_772_191215,163_1100_200307
U28Z1P,U28Z1P,1,,221_802_191215,163_1101_200307
U28Z2P,U28Z2P,1,,221_776_191215,163_1102_200307
U28Z1P,U28Z1P,1,,221_779_191215,163_1103_200307
U28Z2P,U28Z2P,1,,221_753_191215,163_1104_200307
U28Z1P,U28Z1P,1,,221_767_191215,163_1105_200307
U28Z2P,U28Z2P,1,,221_741_191215,163_1106_200307
U28Z1P,U28Z1P,1,,221_746_191215,163_1107_200307
U28Z2P,U28Z2P,1,,221_799_191215,163_1108_200307
U28Z1P,U28Z1P,1,,221_777_191215,163_1109_200307
U28Z2P,U28Z2P,1,,221_751_191215,163_1110_200307
U28Z1P,U28Z1P,1,,221_754_191215,163_1111_200307
U28Z2P,U28Z2P,1,,221_807_191215,163_952_200302
U28Z1P,U28Z1P,1,,163_1060_200307,221_736_191215
U28Z2P,U28Z2P,1,,163_1087_200307,221_737_191215
U28Z1P,U28Z1P,1,,163_1062_200307,221_738_191215
U28Z2P,U28Z2P,1,,163_1073_200307,221_739_191215
U28Z1P,U28Z1P,1,,163_1095_200307,221_740_191215
U28Z2P,U28Z2P,1,,163_1106_200307,221_741_191215
U28Z1P,U28Z1P,1,,163_1088_200307,221_742_191215
U28Z2P,U28Z2P,1,,163_1098_200307,221_743_191215
U28Z1P,U28Z1P,1,,163_1076_200307,221_744_191215
U28Z2P,U28Z2P,1,,163_1055_200307,221_745_191215
U28Z1P,U28Z1P,1,,163_1107_200307,221_746_191215
U28Z2P,U28Z2P,1,,163_1079_200307,221_747_191215
U28Z1P,U28Z1P,1,,163_1056_200307,221_748_191215
U28Z2P,U28Z2P,1,,163_1067_200307,221_749_191215
U28Z1P,U28Z1P,1,,163_1080_200307,221_750_191215
U28Z2P,U28Z2P,1,,163_1110_200307,221_751_191215
U28Z1P,U28Z1P,1,,163_1092_200307,221_752_191215
U28Z2P,U28Z2P,1,,163_1104_200307,221_753_191215
U28Z1P,U28Z1P,1,,163_1111_200307,221_754_191215
U28Z2P,U28Z2P,1,,163_941_200302,221_755_191215
U28Z1P,U28Z1P,1,,163_1083_200307,221_756_191215
U28Z1P,U28Z1P,1,,163_929_200302,221_756_191215
U28Z2P,U28Z2P,1,,163_1015_200302,221_757_191215
U28Z1P,U28Z1P,1,,163_1042_200302,221_758_191215
U28Z1P,U28Z1P,1,,163_1044_200302,221_528_190902
U28Z1P,U28Z1P,1,,163_1084_200307,221_761_191215
U28Z1P,U28Z1P,1,,163_1086_200307,221_763_191215
U28Z2P,U28Z2P,1,,163_1051_200307,221_764_191215
U28Z1P,U28Z1P,1,,163_1072_200307,221_765_191215
U28Z2P,U28Z2P,1,,163_1053_200307,221_766_191215
U28Z1P,U28Z1P,1,,163_1105_200307,221_767_191215
U28Z2P,U28Z2P,1,,163_1075_200307,221_768_191215
U28Z1P,U28Z1P,1,,163_1097_200307,221_769_191215
U28Z2P,U28Z2P,1,,163_1065_200307,221_770_191215
U28Z1P,U28Z1P,1,,163_1054_200307,221_771_191215
U28Z2P,U28Z2P,1,,163_1100_200307,221_772_191215
